spotifty id,name,artist,artist followers,genre,album,release_date,length,popularity,acousticness,danceability,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence,pl id,pl name,pl owner
2qM47jrxKy5t0W4VLLHxW1,New World Pioneer,Dries Wold,13,['sleep'],New World Pioneer,2022-01-14,185640,47,0.983,0.0837,0.00843,0.938,10,0.0969,-30.728,1,0.0417,76.987,3,0.0544,37i9dQZF1DX3Ogo9pFvBkY,Ambient Relaxation,Spotify
1pfYu9JKsojWVnmb5J9Xc0,Soluma,Aidin,186,[],Soluma,2021-09-16,224364,49,0.984,0.0953,0.00497,0.934,10,0.168,-34.801,1,0.0386,172.927,5,0.0393,37i9dQZF1DX3Ogo9pFvBkY,Ambient Relaxation,Spotify
1EVG8oKkYocWnjot9oPZHB,Soul Connect,Elise Magnefold,2422,['background music'],Soul Connect,2021-09-21,196491,60,0.931,0.167,0.0783,0.917,9,0.078,-26.665,0,0.039,139.731,3,0.0327,37i9dQZF1DX3Ogo9pFvBkY,Ambient Relaxation,Spotify
0sHAK04QYBqPdPL5BUP4aS,Abditory,Natalie Carlton,83,[],Abditory,2021-09-16,147702,52,0.973,0.141,0.00176,0.832,5,0.101,-37.965,1,0.0469,71.361,1,0.0383,37i9dQZF1DX3Ogo9pFvBkY,Ambient Relaxation,Spotify
5OhMr3bntCGijbYyib6rJp,Nocturnal Vibes,Aron Joyce,14,[],Nocturnal Vibes,2021-09-20,198333,50,0.994,0.12,0.00169,0.863,11,0.103,-36.33,1,0.0363,93.728,4,0.119,37i9dQZF1DX3Ogo9pFvBkY,Ambient Relaxation,Spotify
0ZGteveKS9XMCxDtjehnG3,Take Me Home,Gemma Casimaty,1025,[],Take Me Home,2021-12-30,209500,46,0.981,0.139,0.0161,0.768,8,0.108,-37.554,0,0.0387,70.326,3,0.111,37i9dQZF1DX3Ogo9pFvBkY,Ambient Relaxation,Spotify
5jKGlvcYrkQjoqwvAtMZ70,Etheral Ease,Imperial Atlas,120,[],Etheral Ease,2021-09-13,195494,63,0.991,0.143,0.0316,0.964,2,0.108,-30.065,1,0.0403,100.669,3,0.0857,37i9dQZF1DX3Ogo9pFvBkY,Ambient Relaxation,Spotify
2tSUPdYj7CcdiQHrHgqmjZ,Centered,EON NOIRE,912,['background music'],Centered,2020-03-31,183000,49,0.991,0.182,0.00165,0.943,5,0.0843,-36.224,1,0.0529,68.439,3,0.229,37i9dQZF1DX3Ogo9pFvBkY,Ambient Relaxation,Spotify
7oZCirsU9Gx3ipUMWpkQKb,Underwater Manifestations,Heartbeat Sirens,586,[],Underwater Manifestations,2021-09-12,192000,47,0.942,0.157,0.0183,0.811,1,0.112,-29.983,1,0.056,140.809,4,0.0357,37i9dQZF1DX3Ogo9pFvBkY,Ambient Relaxation,Spotify
1pyjUJ03bvKKsPojBFeEQi,Floating,Alma Meris,256,['background music'],Floating,2021-04-19,178000,44,0.893,0.174,0.0598,0.737,9,0.0751,-27.38,0,0.0346,63.728,4,0.0383,37i9dQZF1DX3Ogo9pFvBkY,Ambient Relaxation,Spotify
5NSXFCjsmReRJzuPl6vNrQ,Circadian,Jeila Sander,36,[],Circadian,2021-04-20,175329,43,0.96,0.284,0.00842,0.897,2,0.0823,-35.578,1,0.0352,69.899,4,0.0373,37i9dQZF1DX3Ogo9pFvBkY,Ambient Relaxation,Spotify
5cbkiCRy1LVLiAl1q64n2S,Wanderstar,Amel Scott,132,[],Aphelion,2021-09-08,160511,65,0.988,0.271,0.045,0.843,10,0.108,-30.262,1,0.0417,71.13,4,0.0415,37i9dQZF1DX3Ogo9pFvBkY,Ambient Relaxation,Spotify
1XhhBtMKmNGM4yfgMZQVxf,Deep breaths,Jirou Soller,68,['sleep'],Deep breaths,2021-04-22,131666,63,0.918,0.195,0.0118,0.887,1,0.114,-36.005,1,0.0384,71.44,1,0.0329,37i9dQZF1DX3Ogo9pFvBkY,Ambient Relaxation,Spotify
2SjBRxCVMi41VzalD8WQBP,Devotion,Aurelin,21,['sleep'],Devotion,2021-08-08,147236,43,0.972,0.221,0.00651,0.914,9,0.111,-36.272,0,0.0349,70.828,3,0.057,37i9dQZF1DX3Ogo9pFvBkY,Ambient Relaxation,Spotify
36JZbTsvp44NkViBfn5o0o,Neblina,Valentinah Garcia,1,[],Neblina,2022-04-05,143529,42,0.941,0.212,0.0279,0.597,3,0.105,-29.587,0,0.0437,72.204,3,0.0764,37i9dQZF1DX3Ogo9pFvBkY,Ambient Relaxation,Spotify
395VlKRtLopomEXtjYSDsz,Quiet Awareness,Yonah Stana,57,[],Quiet Awareness,2021-08-27,181132,62,0.992,0.123,0.0156,0.867,0,0.123,-30.877,1,0.0512,177.449,3,0.0358,37i9dQZF1DX3Ogo9pFvBkY,Ambient Relaxation,Spotify
5BDIKKycvDRRpJGG76cg0n,Connection,Benny Dawn,53,[],Connection,2021-08-27,144562,53,0.907,0.247,0.0134,0.93,9,0.101,-32.056,1,0.0416,87.482,4,0.0875,37i9dQZF1DX3Ogo9pFvBkY,Ambient Relaxation,Spotify
1GF0zNrSjuQiw2Y16cYqnW,The Gift,Laura Dawson,30,[],The Gift,2021-08-06,173333,53,0.956,0.0688,0.0403,0.798,0,0.123,-27.547,1,0.0622,73.226,4,0.251,37i9dQZF1DX3Ogo9pFvBkY,Ambient Relaxation,Spotify
6S0hwfRH6W5iLbAXl3cmB4,Vivante,Darcel Gau,97,[],Vivante,2020-09-24,133719,45,0.974,0.178,0.00708,0.811,4,0.11,-34.992,0,0.0377,73.448,4,0.0512,37i9dQZF1DX3Ogo9pFvBkY,Ambient Relaxation,Spotify
5dhj9EMLIeq5R1zEo3PSni,Versuchen,Leo Baumgart,104,['sleep'],Versuchen,2021-06-10,136654,62,0.973,0.12,0.0082,0.897,0,0.111,-34.09,1,0.0396,77.165,4,0.0615,37i9dQZF1DX3Ogo9pFvBkY,Ambient Relaxation,Spotify
4gpqUShgtvlOZbtcVLjBM0,Sunset,Vera Martin,89,[],Sunset,2021-01-01,201761,54,0.991,0.0646,0.00223,0.92,7,0.0903,-29.924,1,0.0489,64.568,5,0.126,37i9dQZF1DX3Ogo9pFvBkY,Ambient Relaxation,Spotify
4pcp7p5lioqQ6996nyjdd5,Solar Eclipse,Tejal Yann,3393,['background music'],Solar Eclipse,2021-09-03,241994,47,0.965,0.0855,0.0411,0.954,5,0.0933,-29.711,1,0.0553,83.632,3,0.0401,37i9dQZF1DX3Ogo9pFvBkY,Ambient Relaxation,Spotify
5f3WC3rzG1MAZrxODeYrll,Not Giving Up,Agnes Sayjno,50,[],Not Giving Up,2021-09-06,297062,44,0.993,0.287,0.00675,0.919,11,0.118,-33.798,1,0.0324,80.109,3,0.0885,37i9dQZF1DX3Ogo9pFvBkY,Ambient Relaxation,Spotify
6LT6ucr7adcngXzRlUdvgz,Kustlijnen,Ebba Dekker,41,[],Kustlijnen,2021-09-02,154481,53,0.963,0.154,0.00683,0.946,9,0.101,-35.901,1,0.0405,137.0,4,0.15,37i9dQZF1DX3Ogo9pFvBkY,Ambient Relaxation,Spotify
3ciI0W5tW7zBPWEglpc3fR,One Path,Aster,129,[],One Path,2020-09-26,129391,45,0.957,0.182,0.0384,0.9,5,0.158,-27.802,0,0.0434,114.865,4,0.0429,37i9dQZF1DX3Ogo9pFvBkY,Ambient Relaxation,Spotify
1Ix5PP41jAMMeVHXpoSOv0,Waiting,Dian Giles,101,[],Waiting,2021-01-15,180500,46,0.809,0.0771,0.00362,0.946,2,0.112,-32.278,1,0.0515,172.013,5,0.214,37i9dQZF1DX3Ogo9pFvBkY,Ambient Relaxation,Spotify
0GcOiTelzsYoFLRdmQxvjA,Kaip Angelai,Aida Lukša,66,[],Kaip Angelai,2021-02-05,181075,42,0.892,0.187,0.0358,0.926,1,0.114,-26.845,1,0.0417,69.49,3,0.0795,37i9dQZF1DX3Ogo9pFvBkY,Ambient Relaxation,Spotify
0WT8VyxSXvV9P39lRYE8TE,Cloches d'Arbres,Auricz,35,[],Cloches d'Arbres,2020-12-16,190909,42,0.964,0.0789,0.044,0.777,2,0.0769,-26.662,0,0.0401,174.851,3,0.0528,37i9dQZF1DX3Ogo9pFvBkY,Ambient Relaxation,Spotify
